,hq_id,inv_id,inv_name
0,497740,497740,supplier1
1,497740,253112,supplier2
2,455983,455983,supplier1
3,455983,235451,supplier2
4,606740,606740,supplier1
5,606740,249818,supplier3
6,606740,539921,supplier2
7,606740,2066615,supplier4
8,481441,481441,supplier1
9,481441,398262,supplier2
10,481441,34543,supplier3
11,261426,261426,supplier1
12,261426,1476148,supplier4
13,261426,398263,supplier2
14,261426,26115,supplier3
15,261426,155310,supplier2
16,261426,31972,supplier3
17,369364,369364,supplier1
18,369364,939175,supplier4
19,352146,352146,supplier1
20,352146,360340,supplier2
21,352146,9532,supplier3
22,352146,376844,supplier2
23,352146,24352,supplier3
24,352146,1067428,supplier4
25,506671,506671,supplier1
26,506671,383537,supplier2
27,506671,122190,supplier2
28,506671,771025,supplier4
29,586936,586936,supplier1
30,586936,420818,supplier2
31,471179,471179,supplier1
32,471179,233716,supplier2
33,208387,208387,supplier1
34,208387,750595,supplier4
35,208387,162480,supplier2
36,225787,225787,supplier1
37,225787,9754,supplier3
38,246939,246939,supplier1
39,246939,89970,supplier2
40,417222,417222,supplier1
41,417222,1165818,supplier4
42,278952,278952,supplier1
43,278952,171406,supplier2
44,563115,563115,supplier1
45,563115,1936415,supplier4
46,563115,527701,supplier2
47,563115,213190,supplier3
48,492615,492615,supplier1
49,492615,321340,supplier2
50,253492,253492,supplier1
51,253492,52904,supplier2
52,480792,480792,supplier1
53,480792,195879,supplier2
54,480792,1621938,supplier4
55,535669,535669,supplier1
56,535669,410658,supplier2
57,297278,297278,supplier1
58,297278,227504,supplier3
59,297278,231886,supplier4
60,395631,395631,supplier1
61,395631,679835,supplier4
62,395631,25680,supplier3
63,428983,428983,supplier1
64,428983,195581,supplier2
65,428983,170288,supplier2
66,428983,934675,supplier4
67,590446,590446,supplier1
68,590446,262395,supplier3
69,461260,461260,supplier1
70,461260,385398,supplier2
71,389079,389079,supplier1
72,389079,341761,supplier2
73,348769,348769,supplier1
74,348769,453205,supplier4
75,348769,233056,supplier2
76,437739,437739,supplier1
77,437739,230680,supplier2
78,437739,1397748,supplier4
79,428224,428224,supplier1
80,428224,191336,supplier2
81,490186,490186,supplier1
82,490186,431720,supplier2
83,409534,409534,supplier1
84,409534,189150,supplier2
85,230147,230147,supplier1
86,230147,335227,supplier2
87,534369,534369,supplier1
88,534369,410325,supplier2
89,534369,1796148,supplier4
90,564071,564071,supplier1
91,481509,481509,supplier1
92,212071,212071,supplier1
93,212071,28728,supplier2
94,212071,1452,supplier3
95,212071,232086,supplier4
96,441555,441555,supplier1
97,441555,193450,supplier2
98,385478,385478,supplier1
99,385478,314003,supplier2
100,385478,165063,supplier2
101,385478,261545,supplier3
102,208861,208861,supplier1
103,208861,1316558,supplier4
104,541311,541311,supplier1
105,541311,243506,supplier4
106,583760,583760,supplier1
107,583760,2020175,supplier4
108,583760,393358,supplier2
109,583421,583421,supplier1
110,583421,2020185,supplier4
111,587319,587319,supplier1
112,587319,2020195,supplier4
113,509600,509600,supplier1
114,509600,410866,supplier2
115,509600,1760898,supplier4
116,461532,461532,supplier1
117,461532,174453,supplier2
118,461532,408918,supplier2
119,461532,92684,supplier3
120,362527,362527,supplier1
121,362527,249646,supplier4
122,296239,296239,supplier1
123,296239,65866,supplier2
124,296239,11417,supplier3
125,296239,547705,supplier4
126,428056,428056,supplier1
127,428056,188653,supplier2
128,428056,1177238,supplier4
129,486392,486392,supplier1
130,486392,1729438,supplier4
131,480845,480845,supplier1
132,480845,244713,supplier3
133,480845,90466,supplier2
134,400818,400818,supplier1
135,400818,229817,supplier2
136,400818,414933,supplier2
137,400818,415420,supplier2
138,553402,553402,supplier1
139,553402,384567,supplier2
140,363792,363792,supplier1
141,363792,1130628,supplier4
142,370299,370299,supplier1
143,370299,27132,supplier3
144,385796,385796,supplier1
145,385796,314875,supplier2
146,410454,410454,supplier1
147,410454,362063,supplier2
148,442423,442423,supplier1
149,442423,38594,supplier3
150,543223,543223,supplier1
151,543223,455961,supplier2
152,543223,225745,supplier3
153,316932,316932,supplier1
154,316932,314413,supplier2
155,590089,590089,supplier1
156,590089,504223,supplier2
157,213569,213569,supplier1
158,213569,52245,supplier2
159,587377,587377,supplier1
160,587377,389821,supplier2
161,475625,475625,supplier1
162,475625,43834,supplier4
163,578930,578930,supplier1
164,578930,323603,supplier2
165,242910,242910,supplier1
166,242910,67721,supplier2
167,242910,74285,supplier2
168,242910,22734,supplier4
169,463585,463585,supplier1
170,463585,1233988,supplier4
171,172771,172771,supplier1
172,172771,202273,supplier2
173,251284,251284,supplier1
174,251284,14003,supplier3
175,251284,523225,supplier4
176,251284,134201,supplier2
177,461848,461848,supplier1
178,461848,237308,supplier2
179,461848,60574,supplier4
180,461848,100945,supplier2
181,510315,510315,supplier1
182,510315,1864208,supplier4
183,510315,251414,supplier2
184,413407,413407,supplier1
185,413407,1450808,supplier4
186,421533,421533,supplier1
187,421533,1606388,supplier4
188,421533,234190,supplier2
189,374239,374239,supplier1
190,374239,281274,supplier2
191,425901,425901,supplier1
192,425901,106034,supplier2
193,580380,580380,supplier1
194,580380,464782,supplier2
195,464532,464532,supplier1
196,464532,233081,supplier2
197,182400,182400,supplier1
198,182400,312220,supplier2
199,248820,248820,supplier1
200,248820,84460,supplier2
201,132870,132870,supplier1
202,132870,197143,supplier2
203,354024,354024,supplier1
204,354024,1662418,supplier4
205,354024,1117,supplier2
206,324249,324249,supplier1
207,324249,8539,supplier2
208,253406,253406,supplier1
209,253406,23136,supplier2
210,357514,357514,supplier1
211,357514,437,supplier2
212,382710,382710,supplier1
213,382710,1140548,supplier4
214,382710,210734,supplier2
215,409025,409025,supplier1
216,409025,277692,supplier2
217,548351,548351,supplier1
218,548351,171504,supplier2
219,548871,548871,supplier1
220,548871,188217,supplier2
221,428584,428584,supplier1
222,428584,1148818,supplier4
223,422843,422843,supplier1
224,422843,189349,supplier2
225,123765,123765,supplier1
226,123765,58074,supplier2
227,509775,509775,supplier1
228,509775,216746,supplier3
229,509775,1607188,supplier4
230,509775,199136,supplier2
231,408382,408382,supplier1
232,408382,135781,supplier2
233,425925,425925,supplier1
234,425925,196781,supplier2
235,425914,425914,supplier1
236,425914,196779,supplier2
237,425928,425928,supplier1
238,425928,196780,supplier2
239,530356,530356,supplier1
240,530356,233687,supplier2
241,340485,340485,supplier1
242,340485,132623,supplier2
243,340485,513685,supplier4
244,340485,410239,supplier2
245,340485,23014,supplier3
246,346615,346615,supplier1
247,346615,208175,supplier2
248,474367,474367,supplier1
249,474367,254429,supplier2
250,359216,359216,supplier1
251,359216,570175,supplier4
252,359216,135621,supplier2
253,293524,293524,supplier1
254,293524,205898,supplier2
255,459724,459724,supplier1
256,459724,368750,supplier2
257,459724,50243,supplier3
258,459724,1064598,supplier4
259,459724,191286,supplier2
260,459724,21385,supplier3
261,459724,235336,supplier4
262,459724,439,supplier3
263,133366,133366,supplier1
264,133366,7157,supplier2
265,233682,233682,supplier1
266,233682,11675,supplier3
267,233682,57948,supplier2
268,233682,232736,supplier4
269,453827,453827,supplier1
270,453827,376057,supplier2
271,453827,215399,supplier2
272,453827,11464,supplier3
273,453827,1059708,supplier4
274,387372,387372,supplier1
275,387372,343508,supplier2
276,132738,132738,supplier1
277,132738,1629308,supplier4
278,372212,372212,supplier1
279,372212,320584,supplier2
280,536801,536801,supplier1
281,536801,225286,supplier3
282,190783,190783,supplier1
283,190783,156260,supplier2
284,190783,46865,supplier3
285,357101,357101,supplier1
286,357101,351093,supplier2
287,450815,450815,supplier1
288,450815,23738,supplier3
289,450815,260315,supplier2
290,450815,1212788,supplier4
291,590766,590766,supplier1
292,590766,492381,supplier2
293,417602,417602,supplier1
294,417602,212552,supplier2
295,464482,464482,supplier1
296,464482,1701888,supplier4
297,464482,200799,supplier2
298,364855,364855,supplier1
299,364855,1665358,supplier4
300,364855,1176168,supplier4
301,364855,6351,supplier3
302,484438,484438,supplier1
303,484438,231399,supplier2
304,484438,199706,supplier2
305,484438,1718118,supplier4
306,235410,235410,supplier1
307,235410,235456,supplier4
308,235410,17400,supplier3
309,450993,450993,supplier1
310,450993,387637,supplier2
311,452068,452068,supplier1
312,452068,235165,supplier2
313,172485,172485,supplier1
314,172485,138709,supplier2
315,282467,282467,supplier1
316,282467,212958,supplier2
317,545615,545615,supplier1
318,545615,86440,supplier2
319,480896,480896,supplier1
320,480896,504241,supplier2
321,482471,482471,supplier1
322,482471,555561,supplier2
323,482471,1473638,supplier4
324,482471,441827,supplier2
325,562930,562930,supplier1
326,562930,441828,supplier2
327,431188,431188,supplier1
328,431188,2030325,supplier4
329,440865,440865,supplier1
330,440865,51820,supplier3
331,440865,222345,supplier2
332,508339,508339,supplier1
333,508339,408663,supplier2
334,508339,1884625,supplier4
335,508339,214690,supplier3
336,223419,223419,supplier1
337,223419,19767,supplier2
338,223419,22919,supplier3
339,348947,348947,supplier1
340,348947,3027,supplier3
341,197485,197485,supplier1
342,197485,213402,supplier3
343,197485,460941,supplier2
344,224497,224497,supplier1
345,224497,19768,supplier2
346,224497,44787,supplier3
347,257943,257943,supplier1
348,257943,82055,supplier2
349,429432,429432,supplier1
350,429432,182551,supplier2
351,429432,18592,supplier3
352,429521,429521,supplier1
353,429521,199743,supplier2
354,429521,54380,supplier3
355,429521,916295,supplier4
356,396562,396562,supplier1
357,396562,161361,supplier2
358,396562,17562,supplier3
359,233347,233347,supplier1
360,233347,38884,supplier2
361,233347,41133,supplier3
362,257944,257944,supplier1
363,257944,82054,supplier2
364,205400,205400,supplier1
365,205400,44185,supplier2
366,190592,190592,supplier1
367,190592,176690,supplier2
368,190592,21589,supplier3
369,190592,123358,supplier2
370,190592,4945,supplier3
371,273164,273164,supplier1
372,273164,19044,supplier3
373,273164,103178,supplier2
374,260266,260266,supplier1
375,260266,35581,supplier3
376,429452,429452,supplier1
377,429452,19981,supplier3
378,429452,199949,supplier2
379,274545,274545,supplier1
380,274545,103934,supplier2
381,274545,120392,supplier4
382,274545,24894,supplier3
383,413464,413464,supplier1
384,413464,133959,supplier2
385,373489,373489,supplier1
386,373489,9679,supplier3
387,373489,140519,supplier2
388,258538,258538,supplier1
389,258538,38426,supplier3
390,258538,44134,supplier4
391,313916,313916,supplier1
392,313916,96289,supplier4
393,313916,22944,supplier3
394,260378,260378,supplier1
395,260378,1907205,supplier4
396,260378,179643,supplier3
397,260378,517021,supplier2
398,313111,313111,supplier1
399,313111,91848,supplier4
400,313111,110406,supplier2
401,313111,55103,supplier3
402,443761,443761,supplier1
403,443761,17096,supplier3
404,443761,1008155,supplier4
405,457584,457584,supplier1
406,457584,93183,supplier2
407,440159,440159,supplier1
408,440159,1194948,supplier4
409,516214,516214,supplier1
410,516214,407204,supplier2
411,516214,1594788,supplier4
412,536005,536005,supplier1
413,362929,362929,supplier1
414,362929,472945,supplier4
415,362929,123536,supplier2
416,438236,438236,supplier1
417,438236,329553,supplier2
418,500164,500164,supplier1
419,500164,253384,supplier2
420,386309,386309,supplier1
421,386309,355017,supplier2
422,443324,443324,supplier1
423,443324,1200528,supplier4
424,241319,241319,supplier1
425,241319,52669,supplier2
426,241319,80,supplier3
427,241319,123721,supplier2
428,336237,336237,supplier1
429,336237,510285,supplier4
430,515909,515909,supplier1
431,515909,2010515,supplier4
432,185910,185910,supplier1
433,185910,236276,supplier4
434,185910,188462,supplier2
435,185910,2034765,supplier4
436,586290,586290,supplier1
437,586290,450110,supplier2
438,200481,200481,supplier1
439,200481,39333,supplier3
440,259523,259523,supplier1
441,259523,94017,supplier2
442,327452,327452,supplier1
443,327452,39364,supplier4
444,339397,339397,supplier1
445,339397,108192,supplier4
446,339397,137647,supplier2
447,321724,321724,supplier1
448,321724,94019,supplier2
449,339396,339396,supplier1
450,339396,137653,supplier2
451,339396,533145,supplier4
452,327567,327567,supplier1
453,327567,46858,supplier3
454,327567,39384,supplier4
455,327567,106531,supplier2
456,327567,1166,supplier2
457,327567,49168,supplier3
458,254081,254081,supplier1
459,254081,67581,supplier2
460,254081,586125,supplier4
461,254081,53774,supplier3
462,421480,421480,supplier1
463,421480,48484,supplier3
464,418827,418827,supplier1
465,418827,361365,supplier4
466,120489,120489,supplier1
467,120489,7860,supplier2
468,120489,494175,supplier4
469,585491,585491,supplier1
470,585491,394094,supplier2
471,547623,547623,supplier1
472,547623,421538,supplier2
473,581225,581225,supplier1
474,581225,396607,supplier2
475,552430,552430,supplier1
476,552430,237446,supplier4
477,189942,189942,supplier1
478,189942,232716,supplier4
479,189942,3591,supplier3
480,189942,57949,supplier2
481,412634,412634,supplier1
482,412634,413442,supplier2
483,331700,331700,supplier1
484,331700,135873,supplier2
485,331700,17124,supplier3
486,331700,237496,supplier4
487,208135,208135,supplier1
488,208135,233186,supplier4
489,208135,233216,supplier4
